City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,umiray,15.2206,121.4111,23.64,90,48,4.37,PH,1732566442
83,ilulissat,69.2167,-51.1,-1.99,86,75,5.14,GL,1732566443
84,afaahiti,-17.75,-149.2833,24.85,84,94,6.44,PF,1732565714
85,avarua,-21.2078,-159.775,26.03,78,20,2.06,CK,1732566301
86,ponta delgada,37.7333,-25.6667,19.4,82,75,6.69,PT,1732566449
87,bayanaul,50.7889,75.6956,-10.7,93,1,2.16,KZ,1732566450
88,porto novo,6.4965,2.6036,27.9,77,13,3.66,BJ,1732566451
89,fort bragg,35.139,-79.006,22.73,42,0,3.09,US,1732566356
90,covington,39.0837,-84.5086,17.35,81,100,5.66,US,1732566453
91,kirakira,-10.4544,161.9205,28.09,79,87,1.68,SB,1732566177
92,guelmim,28.987,-10.0574,25.19,16,5,6.17,MA,1732566456
93,papatowai,-46.5619,169.4708,13.51,67,42,7.23,NZ,1732565888
94,flying fish cove,-10.4217,105.6791,27.47,78,100,1.65,CX,1732566217
95,altus,34.6381,-99.334,10.04,53,0,7.72,US,1732566459
96,savsat,41.2403,42.3611,-4.09,92,58,1.79,TR,1732566460
97,port mathurin,-19.6833,63.4167,24.61,78,9,7.62,MU,1732566461
98,aral,40.5156,81.2636,1.8,45,0,3.91,CN,1732566462
99,severo-yeniseyskiy,60.3725,93.0408,-6.53,94,98,4.41,RU,1732566463
100,bethel,41.3712,-73.414,10.68,49,14,1.34,US,1732566120
101,palora,-1.7,-77.9333,30.06,71,23,1.15,EC,1732566466
102,luderitz,-26.6481,15.1594,15.75,86,8,7.51,NA,1732566468
103,uspenskoye,44.8311,41.3927,2.4,99,100,0.15,RU,1732566469
104,lompoc,34.6391,-120.4579,18.34,69,100,6.69,US,1732566206
105,hamilton,39.1834,-84.5333,17.1,81,100,5.66,US,1732566329
106,fale old settlement,-9.3852,-171.2468,28.3,76,59,7.22,TK,1732566472
107,kodiak,57.79,-152.4072,-0.27,93,0,0.0,US,1732565901
108,ha tinh,18.3333,105.9,22.43,94,94,1.94,VN,1732566475
109,vadso,70.0744,29.7487,0.09,80,20,8.75,NO,1732566148
110,buka,40.8108,69.1986,8.56,34,20,1.75,UZ,1732566477
111,murrells inlet,33.551,-79.0414,21.14,72,0,4.63,US,1732566390
112,huarmey,-10.0681,-78.1522,22.6,73,54,5.18,PE,1732566479
113,berezovyy,51.6667,135.7,-9.15,88,100,0.74,RU,1732566277
114,tsiombe,-25.3,45.4833,24.47,88,77,6.44,MG,1732566481
115,mpika,-11.8343,31.4529,19.81,73,74,1.78,ZM,1732566483
116,zarah sharan,33.1467,68.7917,3.18,40,0,1.35,AF,1732566484
117,riosucio,5.4216,-75.7032,23.44,75,88,1.8,CO,1732566485
118,kismayo,-0.3582,42.5454,27.11,81,76,4.69,SO,1732566486
119,weno,7.4515,151.8468,28.97,89,100,3.09,FM,1732565937
120,jamestown,42.097,-79.2353,10.01,70,100,4.63,US,1732565639
121,stanley,54.868,-1.6985,6.01,80,0,6.69,GB,1732566311
122,whitehorse,60.7161,-135.0538,-13.57,71,75,7.2,CA,1732566490
123,sisimiut,66.9395,-53.6735,-0.28,87,100,14.66,GL,1732566491
124,ta'izz,13.5,44.0,17.16,84,8,3.22,YE,1732566493
125,port alberni,49.2413,-124.8028,7.18,90,79,1.34,CA,1732566494
126,igarka,67.4667,86.5833,-7.44,91,90,6.79,RU,1732566238
127,copala,16.65,-98.9833,26.86,74,51,2.9,MX,1732566497
128,longyearbyen,78.2186,15.6401,-11.09,73,100,9.77,SJ,1732566498
129,tolanaro,-25.0319,46.9987,27.04,89,40,5.14,MG,1732565934
130,college,64.8569,-147.8028,-6.07,87,100,1.54,US,1732566500
131,malango,-2.9627,119.9001,19.65,98,100,0.59,ID,1732566172
132,al 'aziziyah,32.9058,45.0616,16.42,40,84,6.99,IQ,1732566503
133,katsuren-haebaru,26.3369,127.8719,24.21,72,40,4.12,JP,1732566064
134,akureyri,65.6835,-18.0878,-12.04,72,0,4.63,IS,1732566505
135,hawaiian paradise park,19.5933,-154.9731,26.05,75,0,2.06,US,1732566506
136,masterton,-40.9597,175.6575,17.63,75,81,2.2,NZ,1732565952
137,nova sintra,14.8667,-24.7167,25.64,76,32,8.84,CV,1732566508
138,aljezur,37.3191,-8.8033,14.44,59,99,0.77,PT,1732566509
139,alvaraes,-3.2208,-64.8042,27.93,43,62,1.38,BR,1732566510
140,fort st. john,56.2499,-120.8529,-21.06,77,20,3.6,CA,1732566512
141,manbij,36.5281,37.9549,5.63,56,81,3.55,SY,1732566513
142,gereida,11.2811,25.1414,22.6,19,7,4.06,SD,1732565962
143,tazovsky,67.4667,78.7,-7.45,88,45,7.68,RU,1732566515
144,bandarbeyla,9.4942,50.8122,26.17,80,39,5.85,SO,1732566516
145,kapuskasing,49.4169,-82.4331,-0.95,100,100,1.54,CA,1732566422
146,touros,-5.1989,-35.4608,27.16,64,68,4.77,BR,1732566518
147,ornskoldsvik,63.2909,18.7153,0.53,100,100,1.03,SE,1732566519
148,talnakh,69.4865,88.3972,-6.87,96,100,4.04,RU,1732566521
149,tambura,5.6,27.4667,24.64,36,3,0.65,SS,1732566522
150,hafar al-batin,28.4328,45.9708,19.32,52,20,5.14,SA,1732566523
151,nar'yan-mar,67.6713,53.087,-1.88,94,100,14.65,RU,1732566524
152,quellon,-43.1167,-73.6167,12.16,83,96,4.35,CL,1732566525
153,narvik,68.4384,17.4272,-0.66,97,100,1.48,NO,1732566526
154,al khawr,25.7667,51.3167,23.2,65,4,2.44,QA,1732566527
155,chonchi,-42.6128,-73.8092,12.84,86,97,2.8,CL,1732566528
156,kardla,58.9978,22.7492,10.56,73,100,9.7,EE,1732566529
157,qusmuryn,52.4503,64.6311,-6.21,86,4,2.51,KZ,1732566531
158,galle,6.0367,80.217,23.88,90,100,8.31,LK,1732566533
159,zouerate,22.7187,-12.4521,27.36,12,0,3.57,MR,1732566534
160,sao jose da coroa grande,-8.8978,-35.1478,26.51,73,12,5.52,BR,1732566535
161,tucurui,-3.7661,-49.6725,31.09,54,54,2.88,BR,1732566536
162,klyuchi,52.2667,79.1667,-11.68,92,63,1.14,RU,1732566537
163,pathein,16.7833,94.7333,21.41,80,98,2.25,MM,1732566541
164,mizdah,31.4451,12.9801,12.24,72,4,2.12,LY,1732566542
165,hadibu,12.65,54.0333,25.64,71,34,3.15,YE,1732566543
166,atafu village,-8.5421,-172.5159,28.77,73,20,8.02,TK,1732566544
167,bengkulu,-3.8004,102.2655,23.51,94,100,3.4,ID,1732566545
168,thomaston,32.8882,-84.3266,22.83,59,75,5.66,US,1732566546
169,changleng,28.7,115.8167,8.91,47,35,3.51,CN,1732566547
170,san patricio,28.017,-97.5169,30.97,42,3,3.94,US,1732566548
171,robertsport,6.7533,-11.3686,26.71,82,79,4.48,LR,1732566549
172,tsetserleg,47.475,101.4542,-11.0,54,100,3.84,MN,1732566551
173,amungan,15.3652,119.9582,25.89,75,0,1.13,PH,1732566552
174,zavoronezhskoye,52.8801,40.5526,-2.2,75,2,3.13,RU,1732566553
175,ankazoabo,-22.2833,44.5167,27.64,47,6,2.1,MG,1732566554
176,shenjiamen,29.9576,122.298,11.32,71,100,13.29,CN,1732566555
177,tura,25.5198,90.2201,15.58,86,55,1.65,IN,1732566309
178,nova vicosa,-17.8919,-39.3719,24.48,61,7,4.13,BR,1732566557
179,sao vicente,-23.9631,-46.3919,25.98,61,20,3.09,BR,1732566558
180,saipan,15.1355,145.701,28.39,84,40,5.81,MP,1732566560
181,ulladulla,-35.35,150.4667,19.69,76,98,2.4,AU,1732566561
182,zaozersk,69.4005,32.4476,-3.3,84,10,9.03,RU,1732566562
183,ashta,23.0167,76.7167,16.7,44,30,2.2,IN,1732566563
184,villa del totoral,-30.8167,-63.7167,22.11,90,100,4.05,AR,1732566564
185,minas de marcona,-15.2119,-75.1103,19.46,54,60,8.02,PE,1732566565
186,caleta de carquin,-11.0925,-77.6267,21.65,76,79,5.15,PE,1732566566
187,qoryooley,1.7878,44.53,25.52,86,96,2.99,SO,1732566567
188,seoni,22.0833,79.5333,14.04,53,100,2.94,IN,1732566569
189,brookings,44.3114,-96.7984,-4.34,69,0,6.17,US,1732566571
190,thompson,55.7435,-97.8558,-11.91,85,100,5.14,CA,1732566572
191,ntungamo,-0.8833,29.65,17.63,97,93,1.14,UG,1732566573
192,vilyuchinsk,52.9306,158.4028,-3.85,73,100,5.02,RU,1732566574
193,bubaque,11.2833,-15.8333,28.78,65,0,5.18,GW,1732566575
194,almunecar,36.7339,-3.6907,17.6,80,8,2.85,ES,1732566576
